Lp;DataPoczatku;DataKonca;SumaUbezpieczenia;Odnowienia;Ulica;KodPocztowy;Miasto;Wojewodztwo;Kraj;ReasekuracjaO;ReasekuracjaF;Szerokosc;Dlugosc;Flaga_1;Flaga_2;Nr_Wojewodztwa
92;2016-02-13;2024-01-12;500000,0;NIE;Rakowiecka 23A;50-422;Wrocław;Dolnośląskie;POLSKA;1;;51.0999425;17.067134;1;0;1;
93;2015-08-18;2024-01-17;330000,0;NIE;Osiedle Leśne 10;62-020;Zalasewo;Wielkopolskie;POLSKA;1;;52.383850;17.060991;1;1;12;
94;2015-11-19;2024-01-18;130000,0;NIE;ROBOTNICZA 168;82-300;ELBLĄG;Pomorskie;POLSKA;1;;54.1753889;19.402485372863566;1;0;10;
95;2015-09-15;2024-01-14;227000,0;NIE;ROŹDZIEŃSKIEGO 100;40-203;KATOWICE;Śląskie;POLSKA;1;;50.261414;19.0417607;1;0;15;
96;2015-07-07;2024-01-06;115000,0;NIE;PARKOWA 31;71-634;SZCZECIN;Zachodniopomorskie;POLSKA;1;;53.4408865;14.5682151;1;0;13;
97;2015-07-29;2024-01-28;291700,0;NIE;WOJSKA POLSKIEGO 8E;72-600;ŚWINOUJŚCIE;Zachodniopomorskie;POLSKA;1;;53.9133378;14.2361025;1;0;13;
98;2015-09-29;2024-01-28;724049,0;NIE;Juliana Konstantego Ordona 12E;01-237;Warszawa;Mazowieckie;POLSKA;1;;52.225617;20.951554;1;1;5;
99;2016-02-26;2024-01-25;285807,0;NIE;BRZOZOWA 1850;46-020;CZARNOWĄSY;Opolskie;POLSKA;1;;50.7308272;17.9026083;1;0;7;
100;2015-10-14;2024-01-13;302846,17;NIE;RAKIETOWA 4C;54-615;WROCŁAW;Dolnośląskie;POLSKA;1;;51.0980288;16.9395051;1;0;1;
101;2015-09-08;2024-01-07;213000,0;NIE;OS. ALBERTYŃSKIE 28;31-854;KRAKÓW;Małopolskie;POLSKA;1;;50.0828011;20.017564149999995;1;0;6;
102;2015-10-29;2024-01-28;567000,0;NIE;JANOWO 15;86-070;DĄBROWA CHEŁMIŃSKA;Kujawsko-Pomorskie;POLSKA;1;;53.18669;18.25257;1;0;2;
103;2015-06-26;2024-01-25;175000,0;NIE;Szałasowizna 88;42-530;Dąbrowa Górnicza;Śląskie;POLSKA;1;;50.299791;19.275707;1;1;15;
104;2016-01-19;2024-01-18;370980,24;NIE;Joachima Lelewela 13;53-505;Wrocław;Dolnośląskie;POLSKA;1;;51.10285625;17.021788145552314;1;0;1;
105;2015-07-29;2024-01-28;380000,0;NIE;Porzeczkowa 33;05-330;Kobyłka;Mazowieckie;POLSKA;1;;52.32505475;21.163727846733742;1;0;5;
106;2015-09-04;2024-01-03;336600,0;NIE;JAWOROWA 17;56-120;BRZEG DOLNY;Dolnośląskie;POLSKA;1;;51.27717815;16.710107376899337;1;0;1;
